Birth Country,Category,Country,Name,Nobel Laureats,Year
Germany,Austria Chemistr,Germany,Richard Kuhn,1,1938
Germany,Chemistr,Germany,Fritz Haber,1,1918
Germany,Chemistr,Germany,Carl Bosch,1,1931
Germany,Chemistr,Germany,Otto Hahn,1,1944
Argentina,Chemistry,Argentina,Luis Federico Leloir,1,1970
Australia,Chemistry,Australia,John Warcup Cornforth,1,1975
Austria,Chemistry,Austria,Friderik Pregl,1,1923
Austria,Chemistry,Austria,Richard Adolf Zsigmondy*,1,1925
Austria,Chemistry,Austria,Richard Kuhn*,1,1938
Austria,Chemistry,Austria,Max F. Perutz,1,1962
Austria,Chemistry,Austria,Walter Kohn*,1,1998
Russia,Chemistry,Belgium,Ilya Prigogine,1,1977
Canada,Chemistry,Canada,William Giauque*,1,1949
Canada,Chemistry,Canada,John C. Polanyi,1,1986
Canada,Chemistry,Canada,Sidney Altman,1,1989
Canada,Chemistry,Canada,Rudolph A. Marcus*,1,1992
Germany,Chemistry,Canada,Gerhard Herzberg,1,1971
United Kingdom,Chemistry,Canada,Michael Smith,1,1993
Czech Republic,Chemistry,Czech Republic,Jaroslav Heyrovský,1,1959
Denmark,Chemistry,Denmark,Jens Christian Skou,1,1997
Egypt,Chemistry,Egypt,Ahmed Zewail,1,1999
Finland,Chemistry,Finland,Artturi Ilmari Virtanen,1,1945
France,Chemistry,France,Henri Moissan,1,1906
France,Chemistry,France,Paul Sabatier,1,1912
France,Chemistry,France,Victor Grignard,1,1912
France,Chemistry,France,Frédéric Joliot,1,1935
France,Chemistry,France,Irène Joliot-Curie,1,1935
France,Chemistry,France,Jean-Marie Lehn,1,1987
France,Chemistry,France,Yves Chauvin,1,2005
Russian Poland,Chemistry,France,Marie Curie,1,1911
Germany,Chemistry,Germany,Hermann Emil Fischer,1,1902
Germany,Chemistry,Germany,Adolf von Baeyer,1,1905
Germany,Chemistry,Germany,Eduard Buchner,1,1907
Germany,Chemistry,Germany,Otto Wallach,1,1910
Germany,Chemistry,Germany,Richard Willstätter,1,1915
Germany,Chemistry,Germany,Walther Nernst,1,1920
Germany,Chemistry,Germany,Richard Adolf Zsigmondy,1,1925
Germany,Chemistry,Germany,Heinrich Otto Wieland,1,1927
Germany,Chemistry,Germany,Adolf Otto Reinhold Windaus,1,1928
Germany,Chemistry,Germany,Hans von Euler-Chelpin*,1,1929
Germany,Chemistry,Germany,Hans Fischer,1,1930
Germany,Chemistry,Germany,Friedrich Bergius,1,1931
Germany,Chemistry,Germany,Adolf Butenandt,1,1939
Germany,Chemistry,Germany,Kurt Alder,1,1950
Germany,Chemistry,Germany,Otto Diels,1,1950
Germany,Chemistry,Germany,Hermann Staudinger,1,1953
Germany,Chemistry,Germany,Karl Ziegler,1,1963
Germany,Chemistry,Germany,Manfred Eigen,1,1967
Germany,Chemistry,Germany,Gerhard Herzberg*,1,1971
Germany,Chemistry,Germany,Ernst Otto Fischer,1,1973
Germany,Chemistry,Germany,Georg Wittig,1,1979
Germany,Chemistry,Germany,Hartmut Michel,1,1988
Germany,Chemistry,Germany,Johann Deisenhofer,1,1988
Germany,Chemistry,Germany,Robert Huber,1,1988
Germany,Chemistry,Germany,Gerhard Ertl,1,2007
Latvia,Chemistry,Germany,Wilhelm Ostwald,1,1909
Hungary,Chemistry,Hungary,George de Hevesy,1,1943
Hungary,Chemistry,Hungary,George Andrew Olah*,1,1994
Hungary,Chemistry,Hungary,Avram Hershko*,1,2004
India,Chemistry,India,Venkatraman Ramakrishnan*,1,2009
Hungary,Chemistry,Israel,Avram Hershko,1,2004
Israel,Chemistry,Israel,Aaron Ciechanover,1,2004
Israel,Chemistry,Israel,Ada E. Yonath,1,2009
Italy,Chemistry,Italy,Giulio Natta,1,1963
Japan,Chemistry,Japan,Kenichi Fukui,1,1981
Japan,Chemistry,Japan,Hideki Shirakawa,1,2000
Japan,Chemistry,Japan,Ryoji Noyori,1,2001
Japan,Chemistry,Japan,Koichi Tanaka,1,2002
Japan,Chemistry,Japan,Osamu Shimomura*,1,2008
Latvia,Chemistry,Latvia,Wilhelm Ostwald,1,1909
Lithuania,Chemistry,Lithuania,Aaron Klug*,1,1982
Mexico,Chemistry,Mexico,Mario J. Molina*,1,1995
Netherlands,Chemistry,Netherlands,Jacobus Henricus van 't Hoff,1,1901
Netherlands,Chemistry,Netherlands,Peter Debye,1,1936
Netherlands,Chemistry,Netherlands,Paul J. Crutzen,1,1995
New Zealand,Chemistry,New Zealand,Ernest Rutherford*,1,1908
New Zealand,Chemistry,New Zealand,Alan MacDiarmid*,1,2000
Norway,Chemistry,Norway,Lars Onsager,1,1968
Norway,Chemistry,Norway,Odd Hassel,1,1969
Poland,Chemistry,Poland,Marie Sk?odowska-Curie*,1,1911
Poland,Chemistry,Poland,Roald Hoffmann*,1,1981
Republic Of China (Taiwan),Chemistry,Republic Of China (Taiwan),Yuan T. Lee*,1,1986
Russia,Chemistry,Russia,Nikolay Semyonov,1,1956
Russia,Chemistry,Russia,Ilya Prigogine*,1,1977
Germany,Chemistry,Sweden,Hans von Euler-Chelpin,1,1929
Sweden,Chemistry,Sweden,Svante Arrhenius,1,1903
Sweden,Chemistry,Sweden,Theodor Svedberg,1,1926
Sweden,Chemistry,Sweden,Arne Tiselius,1,1948
Switzerland,Chemistry,Switzerland,Alfred Werner,1,1913
Switzerland,Chemistry,Switzerland,Paul Karrer,1,1937
Switzerland,Chemistry,Switzerland,Richard R. Ernst,1,1991
Switzerland,Chemistry,Switzerland,Kurt Wüthrich,1,2002
Yugoslavia,Chemistry,Switzerland,Leopold Ružic(ka*,1,1939
Yugoslavia,Chemistry,Switzerland,Vladimir Prelog,1,1975
Australia,Chemistry,United Kingdom,John Cornforth,1,1975
Austria,Chemistry,United Kingdom,Max Perutz,1,1962
India,Chemistry,United Kingdom,Venkatraman Ramakrishnan,1,2009
Lithuania,Chemistry,United Kingdom,Aaron Klug,1,1982
New Zealand,Chemistry,United Kingdom,Ernest Rutherford,1,1908
United Kingdom,Chemistry,United Kingdom,William Ramsay,1,1904
United Kingdom,Chemistry,United Kingdom,Frederick Soddy,1,1921
United Kingdom,Chemistry,United Kingdom,Francis William Aston,1,1922
United Kingdom,Chemistry,United Kingdom,Arthur Harden,1,1929
United Kingdom,Chemistry,United Kingdom,Norman Haworth,1,1937
United Kingdom,Chemistry,United Kingdom,Robert Robinson,1,1947
United Kingdom,Chemistry,United Kingdom,Archer John Porter Martin,1,1952
United Kingdom,Chemistry,United Kingdom,Richard Laurence Millington Synge,1,1952
United Kingdom,Chemistry,United Kingdom,Cyril Norman Hinshelwood,1,1956
United Kingdom,Chemistry,United Kingdom,Alexander R. Todd,1,1957
United Kingdom,Chemistry,United Kingdom,Frederick Sanger,1,1958
United Kingdom,Chemistry,United Kingdom,John Kendrew,1,1962
United Kingdom,Chemistry,United Kingdom,Dorothy Crowfoot Hodgkin,1,1964
United Kingdom,Chemistry,United Kingdom,George Porter,1,1967
United Kingdom,Chemistry,United Kingdom,Ronald George Wreyford Norrish,1,1967
United Kingdom,Chemistry,United Kingdom,Derek Harold Richard Barton,1,1969
United Kingdom,Chemistry,United Kingdom,Geoffrey Wilkinson,1,1973
United Kingdom,Chemistry,United Kingdom,Peter D. Mitchell,1,1978
United Kingdom,Chemistry,United Kingdom,Frederick Sanger,1,1980
United Kingdom,Chemistry,United Kingdom,Michael Smith*,1,1993
United Kingdom,Chemistry,United Kingdom,Harold Kroto,1,1996
United Kingdom,Chemistry,United Kingdom,John E. Walker,1,1997
United Kingdom,Chemistry,United Kingdom,John Pople,1,1998
Austria,Chemistry,United States,Walter Kohn,1,1998
Canada,Chemistry,United States,William Giauque,1,1949
Canada,Chemistry,United States,Henry Taube,1,1983
Canada,Chemistry,United States,Sidney Altman,1,1989
Egypt,Chemistry,United States,Ahmed H. Zewail,1,1999
Hungary,Chemistry,United States,George Andrew Olah,1,1994
Japan,Chemistry,United States,Osamu Shimomura,1,2008
Korea,Chemistry,United States,Charles J. Pedersen,1,1987
Mexico,Chemistry,United States,Mario J. Molina,1,1995
New Zealand,Chemistry,United States,Alan MacDiarmid,1,2000
Norway,Chemistry,United States,Lars Onsager,1,1968
Poland,Chemistry,United States,Roald Hoffmann,1,1981
Taiwan,Chemistry,United States,Yuan T. Lee,1,1986
United States,Chemistry,United States,Theodore W. Richards,1,1914
United States,Chemistry,United States,Irving Langmuir,1,1932
United States,Chemistry,United States,Harold C. Urey,1,1934
United States,Chemistry,United States,James B. Sumner,1,1946
United States,Chemistry,United States,John H. Northrop,1,1946
United States,Chemistry,United States,Wendell M. Stanley,1,1946
United States,Chemistry,United States,Edwin M. McMillan,1,1951
