Name	Year	Female	Male
Addison	1880		19
Adrian	1880		18
Allie	1880	105	31
Allison	1880		6
Alva	1880	17	70
Antonia	1880	18	
Asa	1880		60
Ashley	1880		8
Aubrey	1880		21
August	1880		210
Avery	1880		9
Bailey	1880		12
Bennie	1880	8	26
Beverly	1880		12
Billie	1880		10
Billy	1880		7
Brooks	1880		5
Carey	1880	6	13
Carol	1880	7	
Carroll	1880		26
Carson	1880		9
Cary	1880		17
Cecil	1880	14	45
Charley	1880		305
Charlie	1880		730
Chris	1880		49
Christian	1880		43
Clare	1880	15	8
Cleo	1880	17	5
Clyde	1880	13	221
Connie	1880	12	7
Cruz	1880		6
Dallas	1880		20
Dana	1880		12
Dean	1880		14
Dee	1880	6	20
Donnie	1880	20	
Drew	1880		6
Eddie	1880	12	129
Elisha	1880		32
Elliot	1880		7
Elliott	1880		21
Ellis	1880		58
Emerson	1880		25
Emery	1880		52
Emory	1880		40
Fay	1880	13	15
Finley	1880		11
Francis	1880	55	344
Frankie	1880	17	
Freddie	1880	6	9
Gene	1880		7
Guadalupe	1880	5	
Harley	1880		70
Hayden	1880		5
Hunter	1880		12
Ira	1880	16	249
Ivy	1880	33	5
Jean	1880	59	12
Jerry	1880		136
Jessie	1880	635	154
Jewel	1880	5	5
Jewell	1880	8	
Jimmie	1880	15	24
Joan	1880	12	
Jodie	1880		5
Johnie	1880		18
Johnnie	1880	9	24
Jordan	1880		23
June	1880	14	9
Justice	1880		5
Kelly	1880		5
Lacy	1880	6	9
Lee	1880	28	361
Leslie	1880	8	79
Lindsay	1880		7
Lindsey	1880		11
Logan	1880		13
Lois	1880	53	
Lonnie	1880	13	53
Loren	1880		22
Lou	1880	131	14
Louie	1880	14	33
Lynn	1880	5	30
Madison	1880		22
Marion	1880	115	189
Merle	1880	6	17
Monroe	1880		53
Morgan	1880		33
Noel	1880		10
Nova	1880		5
Ollie	1880	183	63
Ora	1880	149	64
Parker	1880		14
Pat	1880		12
Patsy	1880	15	
Payton	1880		5
Perry	1880		134
Presley	1880		5
Quincy	1880		8
Ray	1880	8	142
Reece	1880		5
Reese	1880		6
Rene	1880		5
Riley	1880		41
Robbie	1880	6	
Sammie	1880	6	6
Sandy	1880		18
Shelby	1880		8
Shirley	1880	8	10
Sidney	1880	16	142
Spencer	1880		35
Stacy	1880		6
Sterling	1880		17
Sydney	1880		12
Taylor	1880		37
Terry	1880		10
Tommie	1880	10	15
Tommy	1880		5
Tracy	1880		6
Unknown	1880		5
Van	1880		33
