Name,Value
MD,MD
3,3
8,8
9,9
AB,AB
AK,AK
AL,AL
AR,AR
AS,AS
AZ,AZ
BC,BC
CA,CA
CN,CN
CO,CO
CT,CT
CZ,CZ
DC,DC
DE,DE
DK,DK
DP,DP
DW,DW
FA,FA
FI,FI
FL,FL
FN,FN
FO,FO
GA,GA
GU,GU
HI,HI
IA,IA
ID,ID
IL,IL
IN,IN
IO,IO
IT,IT
KA,KA
KI,KI
KS,KS
KT,KT
KY,KY
LA,LA
LS,LS
MA,MA
MB,MB
ME,ME
MI,MI
MM,MM
MN,MN
MO,MO
MS,MS
MT,MT
MV,MV
MX,MX
NB,NB
NC,NC
ND,ND
NE,NE
NH,NH
NJ,NJ
NM,NM
NS,NS
NT,NT
NV,NV
NY,NY
OH,OH
OK,OK
ON,ON
OR,OR
OT,OT
PA,PA
PE,PE
PN,PN
PQ,PQ
PR,PR
QC,QC
RH,RH
RI,RI
SC,SC
SD,SD
SE,SE
TA,TA
TE,TE
TN,TN
TX,TX
UN,UN
US,US
UT,UT
VA,VA
VR,VR
VT,VT
WA,WA
WI,WI
WT,WT
WV,WV
WY,WY
XX,XX
YU,YU
